nconf;datareg;codall;regione;provincia;comune;Sezione ;specie;materiale;ceppo;antibiotico;ris
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Acido Nalidixico;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Amoxicillina + Ac.Clavulanico;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Ampicillina;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Ampicillina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Cefalexina;I
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Cefalexina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Cefalotina;I
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Cefalotina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Ceftiofur;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Colistina;I
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Colistina;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Enrofloxacin;I
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Enrofloxacin;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Eritromicina;I
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Eritromicina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Florfenicolo;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Gentamicina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Kanamicina;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Kanamicina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Oxacillina;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Oxacillina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Penicillina;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Penicillina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Spectinomicina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Tetraciclina;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Tetraciclina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Tilmicosina;S
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Trimetoprim + Sulfonamidi;R
5.023;07/01/2019;;Lombardia;BG;Nembro;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE UTERINO;Gen. Streptococcus;Trimetoprim + Sulfonamidi;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Acido Nalidixico;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Amoxicillina + Ac.Clavulanico;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Ampicillina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Cefalexina;I
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Cefazolina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Ceftiofur;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Colistina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Enrofloxacin;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Eritromicina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Florfenicolo;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Gentamicina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Kanamicina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Oxacillina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Penicillina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Spectinomicina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Tetraciclina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Tilmicosina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Trimetoprim + Sulfonamidi;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Acido Nalidixico;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Amoxicillina + Ac.Clavulanico;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Ampicillina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Cefalexina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Cefazolina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Ceftiofur;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Colistina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Enrofloxacin;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Eritromicina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Florfenicolo;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Gentamicina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Kanamicina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Oxacillina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Penicillina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Spectinomicina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Tetraciclina;S
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Tilmicosina;R
5.026;07/01/2019;036BS035;Lombardia;BS;Capovalle;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Gen. shigella;Trimetoprim + Sulfonamidi;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Acido Nalidixico;R
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Amoxicillina + Ac.Clavulanico;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Ampicillina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Cefalexina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Cefazolina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Ceftiofur;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Colistina;R
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Enrofloxacin;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Eritromicina;S
